dataset,method,mse_opt,final_loss,time_s,epochs_to_1pct_opt
synthetic_0,gd,0.24061593740524934,0.34598010717062627,0.05145263671875,
synthetic_0,momentum,0.24061593740524934,0.2564543977182169,0.03338122367858887,
synthetic_0,nag,0.24061593740524934,0.25645325332213814,0.09472966194152832,
synthetic_1,gd,0.1942467155529739,0.3110313805877343,0.0440981388092041,
synthetic_1,momentum,0.1942467155529739,0.22117353824559832,0.06715750694274902,
synthetic_1,nag,0.1942467155529739,0.22116818124445226,0.08450102806091309,
synthetic_2,gd,0.23602147031280704,0.373118183635444,0.04693293571472168,
synthetic_2,momentum,0.23602147031280704,0.26300957490318205,0.0488886833190918,
synthetic_2,nag,0.23602147031280704,0.2630061788310168,0.07849383354187012,
